filename,type,source,year,name,con,author,detection,length
variant_1999_oz_e03.txt,Variant,Russ + digital con,1999,SO99,E03,OZ,labeled,94
variant_2000_oz_e04.txt,Variant,Russ + digital con,2000,MA00,E04,OZ,labeled,127
variant_2000_oz_e05.txt,Variant,Russ + digital con,2000,SO00,E05,OZ,labeled,91
variant_2001_gman_e07.txt,Variant,Russ + digital con,2001,MA01,E07,G-MAN,labeled,0
variant_2002_anchises_xs1.txt,Variant,Russ + digital con,2002,MA02,XS1,ANCHISES,labeled,109
variant_2002_micropod_e01.txt,Variant,Russ + digital con,2002,MJ02,E01,MICROPOD,labeled,156
variant_2002_rigrmortis_e04.txt,Variant,Russ + digital con,2002,JF02,E04,RIG R. MORTIS,labeled,110
variant_2003_gman_e03.txt,Variant,Russ + digital con,2003,JF03,E03,G-MAN,labeled,126
variant_2003_oz_e02.txt,Variant,Russ + digital con,2003,JA03,E02,OZ,labeled,0
