filename,type,source,year,name,con,author,detection,length
quagmireii_1999_micropod_xs2.txt,Quagmire II,Russ + digital con,1999,SO99,XS2,MICROPOD,labeled,237
quagmireii_2000_crotalus_e14.txt,Quagmire II,Russ + digital con,2000,JA00,E14,CROTALUS,labeled,104
quagmireii_2000_marshen_e11.txt,Quagmire II,Russ + digital con,2000,JF00,E11,MARSHEN,labeled,122
quagmireii_2001_gman_e11.txt,Quagmire II,Russ + digital con,2001,MJ01,E11,G-MAN,labeled,140
quagmireii_2002_angoka_e17.txt,Quagmire II,Russ + digital con,2002,ND02,E17,ANGO-KA,labeled,121
quagmireii_2002_bitwise_e08.txt,Quagmire II,Russ + digital con,2002,MJ02,E08,BITWISE,labeled,119
quagmireii_2002_linb_xs2.txt,Quagmire II,Russ + digital con,2002,JA02,XS2,LINB,labeled,217
quagmireii_2002_micropod_e10.txt,Quagmire II,Russ + digital con,2002,JF02,E10,MICROPOD,labeled,146
quagmireii_2003_alchemyst_e19.txt,Quagmire II,Russ + digital con,2003,ND03,E19,ALCHEMYST,labeled,134
quagmireii_2003_elcondor_x11.txt,Quagmire II,Russ + digital con,2003,MA03,X11,EL CONDOR,labeled,187
quagmireii_2003_phoenix_e16.txt,Quagmire II,Russ + digital con,2003,MJ03,E16,PHOENIX,labeled,128
