filename,type,source,year,name,con,author,detection,length
quagmireiii_1999_kosty_e21.txt,Quagmire III,Russ + digital con,1999,SO99,E21,KOSTY,labeled,243
quagmireiii_1999_oz_e22.txt,Quagmire III,Russ + digital con,1999,ND99,E22,OZ,labeled,167
quagmireiii_2000_aries_e19.txt,Quagmire III,Russ + digital con,2000,JA00,E19,ARIES,labeled,200
quagmireiii_2000_cereeus_e20.txt,Quagmire III,Russ + digital con,2000,MA00,E20,CERE E. US,labeled,148
quagmireiii_2000_kosty_e19.txt,Quagmire III,Russ + digital con,2000,ND00,E19,KOSTY,labeled,222
quagmireiii_2000_phoenix_e21.txt,Quagmire III,Russ + digital con,2000,MJ00,E21,PHOENIX,labeled,220
quagmireiii_2000_rigrmortis_e22.txt,Quagmire III,Russ + digital con,2000,SO00,E22,RIG R. MORTIS,labeled,191
quagmireiii_2000_walrus_e18.txt,Quagmire III,Russ + digital con,2000,JF00,E18,WALRUS,labeled,153
quagmireiii_2001_alchemyst_e21.txt,Quagmire III,Russ + digital con,2001,ND01,E21,ALCHEMYST,labeled,188
quagmireiii_2001_apexdx_e21.txt,Quagmire III,Russ + digital con,2001,SO01,E21,APEX DX,labeled,190
quagmireiii_2001_aurion_e25.txt,Quagmire III,Russ + digital con,2001,JF01,E25,AURION,labeled,170
quagmireiii_2001_koshka_e21.txt,Quagmire III,Russ + digital con,2001,MJ01,E21,KOSHKA,labeled,148
quagmireiii_2001_marshen_e21.txt,Quagmire III,Russ + digital con,2001,JA01,E21,MARSHEN,labeled,177
quagmireiii_2001_micropod_e15.txt,Quagmire III,Russ + digital con,2001,MA01,E15,MICROPOD,labeled,173
quagmireiii_2002_alchemyst_e19.txt,Quagmire III,Russ + digital con,2002,JA02,E19,ALCHEMYST,labeled,192
quagmireiii_2002_cereeus_e17.txt,Quagmire III,Russ + digital con,2002,SO02,E17,CERE E. US,labeled,140
quagmireiii_2002_cereeus_e22.txt,Quagmire III,Russ + digital con,2002,ND02,E22,CERE E. US,labeled,175
quagmireiii_2002_crotalus_e17.txt,Quagmire III,Russ + digital con,2002,JF02,E17,CROTALUS,labeled,174
quagmireiii_2002_gman_x10.txt,Quagmire III,Russ + digital con,2002,JF02,X10,G-MAN,labeled,0
quagmireiii_2002_marge_e21.txt,Quagmire III,Russ + digital con,2002,MJ02,E21,MARGE,labeled,150
quagmireiii_2002_micropod_e18.txt,Quagmire III,Russ + digital con,2002,MA02,E18,MICROPOD,labeled,169
quagmireiii_2003_alchemyst_e21.txt,Quagmire III,Russ + digital con,2003,JF03,E21,ALCHEMYST,labeled,112
quagmireiii_2003_gungho_e20.txt,Quagmire III,Russ + digital con,2003,ND03,E20,GUNG HO,labeled,120
quagmireiii_2003_gungho_e23.txt,Quagmire III,Russ + digital con,2003,JA03,E23,GUNG HO,labeled,239
quagmireiii_2003_koshka_e19.txt,Quagmire III,Russ + digital con,2003,SO03,E19,KOSHKA,labeled,171
quagmireiii_2003_kosty_e20.txt,Quagmire III,Russ + digital con,2003,MA03,E20,KOSTY,labeled,226
quagmireiii_2003_kosty_e23.txt,Quagmire III,Russ + digital con,2003,MJ03,E23,KOSTY,labeled,227
